search_type,keyword,location,description,url,category,created_time
Basic Search,data science,PA,Standard LinkedIn job search,https://www.linkedin.com/jobs/search/?keywords=data%20science&location=PA,linkedin_direct,2025-10-07 16:12:17
Recent Jobs,data science,PA,Jobs sorted by posting date,https://www.linkedin.com/jobs/search/?keywords=data%20science&location=PA&sortBy=DD,linkedin_direct,2025-10-07 16:12:17
Easy Apply,data science,PA,Jobs with one-click application,https://www.linkedin.com/jobs/search/?keywords=data%20science&location=PA&f_AL=true,linkedin_direct,2025-10-07 16:12:17
Remote Jobs,data science,PA,Remote work positions,https://www.linkedin.com/jobs/search/?keywords=data%20science&location=PA&f_WT=2,linkedin_direct,2025-10-07 16:12:17
Google LinkedIn Search,data science,PA,Search LinkedIn jobs via Google,https://www.google.com/search?q=site:linkedin.com/jobs+data%20science+PA,google_search,2025-10-07 16:12:17
Google Recent Week,data science,PA,Google search for LinkedIn jobs in the past week,https://www.google.com/search?q=site:linkedin.com/jobs+data%20science+PA&tbs=qdr:w,google_search,2025-10-07 16:12:17
Google - Company Jobs Page,data science,PA,Google company LinkedIn jobs page,https://www.linkedin.com/company/google/jobs/,company_page,2025-10-07 16:12:17
Google - Google Search,data science,PA,Google search for Google data science jobs on LinkedIn,https://www.google.com/search?q=Google+data%20science+site:linkedin.com/jobs,company_google,2025-10-07 16:12:17
Microsoft - Company Jobs Page,data science,PA,Microsoft company LinkedIn jobs page,https://www.linkedin.com/company/microsoft/jobs/,company_page,2025-10-07 16:12:17
Microsoft - Google Search,data science,PA,Google search for Microsoft data science jobs on LinkedIn,https://www.google.com/search?q=Microsoft+data%20science+site:linkedin.com/jobs,company_google,2025-10-07 16:12:17
Basic Search,data science,CA,Standard LinkedIn job search,https://www.linkedin.com/jobs/search/?keywords=data%20science&location=CA,linkedin_direct,2025-10-07 16:12:17
Recent Jobs,data science,CA,Jobs sorted by posting date,https://www.linkedin.com/jobs/search/?keywords=data%20science&location=CA&sortBy=DD,linkedin_direct,2025-10-07 16:12:17
Easy Apply,data science,CA,Jobs with one-click application,https://www.linkedin.com/jobs/search/?keywords=data%20science&location=CA&f_AL=true,linkedin_direct,2025-10-07 16:12:17
Remote Jobs,data science,CA,Remote work positions,https://www.linkedin.com/jobs/search/?keywords=data%20science&location=CA&f_WT=2,linkedin_direct,2025-10-07 16:12:17
Google LinkedIn Search,data science,CA,Search LinkedIn jobs via Google,https://www.google.com/search?q=site:linkedin.com/jobs+data%20science+CA,google_search,2025-10-07 16:12:17
Google Recent Week,data science,CA,Google search for LinkedIn jobs in the past week,https://www.google.com/search?q=site:linkedin.com/jobs+data%20science+CA&tbs=qdr:w,google_search,2025-10-07 16:12:17
Google - Company Jobs Page,data science,CA,Google company LinkedIn jobs page,https://www.linkedin.com/company/google/jobs/,company_page,2025-10-07 16:12:17
Google - Google Search,data science,CA,Google search for Google data science jobs on LinkedIn,https://www.google.com/search?q=Google+data%20science+site:linkedin.com/jobs,company_google,2025-10-07 16:12:17
Microsoft - Company Jobs Page,data science,CA,Microsoft company LinkedIn jobs page,https://www.linkedin.com/company/microsoft/jobs/,company_page,2025-10-07 16:12:17
Microsoft - Google Search,data science,CA,Google search for Microsoft data science jobs on LinkedIn,https://www.google.com/search?q=Microsoft+data%20science+site:linkedin.com/jobs,company_google,2025-10-07 16:12:17
